source_id,source_role,filename,local_path,file_size_bytes,sha256,row_count,column_count,encoding,delimiter,audit_timestamp,acceptance_status
SRC_PRDECT_ID_V1,PRIMARY_RESEARCH_ANNOTATED_DATASET,PRDECT-ID Dataset.csv,data/raw/prdect_id/PRDECT-ID Dataset.csv,1262177,1dfdde6bb169ad57aab4211ecf45a75a4111b774ab43932f6d39c349bfd92bde,5400,11,UTF-8,",",2026-08-10T22:33:25.926989,ACCEPTED
SRC_TOKOPEDIA_REVIEWS_2019,SECONDARY_BI_SCALE_DATASET,tokopedia-product-reviews-2019.csv,data/raw/tokopedia_product_reviews_2019/tokopedia-product-reviews-2019.csv,9842197,dbffc29078db1894e60884c526fe4d0ccbc592f33fe95d2e5ac2d8f96336b7ed,40607,8,UTF-8,",",2026-08-10T22:33:25.926989,ACCEPTED_WITH_WARNINGS
